S.No,Name,Year of Birth,Age,Gender,Address,Phone Number,Email,Number of Kids,Accomodation (Rent/Own),Anual Income,Sppeding tickets per year
110,Kevin Head,1961,60,Male,4270/ DEERGROVE/ Bienville/ Bienville/ LA/ 71008,(225)739-1111,kevi.he1961@yahoo.com,0,Own,120391.26,0
111,Izabella Espinoza,2021,0,Female,493/ DECKER CREEK/ Richland/ Columbia/ SC/ 29240,(803)935-9814,izabella.e2021@hotmail.fr,0,Rent,0.0,0
112,Randall Santos,1963,58,Male,3478/ ANDOVER/ Marion/ Idanha/ OR/ 97350,(503)293-2178,ra_santos@aol.com,1,Rent,1564.2,0
113,Lydia Silva,1998,23,Female,689/ CULBERSON/ Jefferson/ Jefferson/ WI/ 53549,(414)279-1814,lyd.si2107@yahoo.com,1,Rent,6621.78,0
114,Beatrice Hicks,1939,82,Female,2912/ EAGLE KNOLL/ Hamilton/ Phillips/ NE/ 68865,(402)817-9429,beatr.hicks1939@yahoo.com,0,Own,56102.64,0
115,Madeline Lyons,1991,30,Female,5725/ HARVEY/ Fremont/ Crowheart/ WY/ 82512,(307)470-5364,ma.lyons2705@hotmail.co.uk,0,Rent,42650.520000000004,7
116,Luke Cash,1995,26,Male,1921/ BANFF/ Union/ Huttig/ AR/ 71747,(870)971-7091,luk-cas08@hotmail.fr,0,Rent,25340.04,0
117,Theresa Mueller,1961,60,Female,1344/ COLLINS CREEK/ Roanoke City/ Roanoke/ VA/ 24033,(804)450-2321,theresa_m10@aol.com,0,Own,4171.2,0
118,Lucy Bartlett,2010,12,Female,805/ N IH 35 NB TO ANDERSON/ Latah/ Bovill/ ID/ 83806,(208)407-1454,lucy.bartlett2010@aol.com,0,Rent,0.0,0
119,Blake Decker,2008,13,Male,5680/ DEBCOE/ Honolulu/ Honolulu/ HI/ 96805,(808)494-1378,bl.decker15@yahoo.fr,0,Rent,0.0,0
120,Thomas Tate,1971,50,Male,6746/ EGGLESTON/ Giles/ Eggleston/ VA/ 24086,(757)282-8687,thomas.t@orange.fr,3,Own,51097.2,0
121,Lily Bradshaw,2019,2,Female,8129/ CORK/ Los Angeles/ Van Nuys/ CA/ 91411,(213)207-1069,lily.bradsha2019@gmail.com,0,Rent,0.0,0
122,Reagan Ayers,2001,20,Female,2136/ PEYTON/ Harris/ Houston/ TX/ 77028,(972)536-8791,rea.ayer2001@wanadoo.fr,0,Own,44319.0,0
123,Janet Sexton,1979,42,Female,1694/ OLTORF/ Cumberland/ Scarborough/ ME/ 4070,(207)990-1658,jan-sexton10@aol.com,1,Own,74977.32,5
124,Mario Foley,1974,47,Male,430/ CRANBERRY/ Atascosa/ Christine/ TX/ 78012,(409)814-5638,mar.fol10@hotmail.fr,0,Own,71171.1,0
125,Wendell Williamson,1945,76,Male,5639/ CLEARVIEW/ Hocking/ Carbon Hill/ OH/ 43111,(740)676-2520,wewilliams30@gmail.com,0,Own,57562.56,0
126,Katherine Pittman,1968,53,Female,3387/ BRYKER/ Warren/ Waynesville/ OH/ 45068,(937)755-3596,kather_pittma1968@gmail.com,0,Rent,19656.78,3
127,Joshua Stephenson,1996,25,Male,821/ BUMBLEBEE/ Reno/ Sylvia/ KS/ 67581,(913)862-9790,joshua-stephenson300796@wanadoo.fr,1,Own,76332.96,6
128,Roger Velazquez,1948,73,Male,7845/ CROSLIN/ Teller/ Cripple Creek/ CO/ 80813,(303)958-8692,ro.velazque@msn.com,0,Own,100682.34,0
129,Vanessa Hopkins,2020,2,Female,1018/ COLORADO CANYON/ Lake/ Barrington/ IL/ 60011,(630)916-3365,vaness.hopk@yahoo.fr,0,Rent,0.0,0
130,Dorothy Pena,1965,56,Female,6348/ ADINA/ Franklin/ Whately/ MA/ 1093,(857)778-2047,doroth.pen0909@hotmail.co.uk,2,Own,72631.02,0
131,Nathaniel Underwood,1989,32,Male,5988/ DEBBIE/ Saint Lawrence/ Brier Hill/ NY/ 13614,(518)512-3246,nathan.underwood@hotmail.fr,0,Own,82694.04000000001,0
132,Cameron Hurst,2018,4,Male,3567/ DUGAN/ Creek/ Kiefer/ OK/ 74041,(539)569-5392,camero.hurst@msn.com,0,Rent,0.0,0
133,Caleb Foley,2021,1,Male,2310/ CEDAR/ Le Flore/ Panama/ OK/ 74951,(539)335-1681,caleb.fo17@msn.com,0,Rent,0.0,0
134,Jean Valentine,1953,69,Female,6137/ DEVONSHIRE/ San Joaquin/ Clements/ CA/ 95227,(714)893-9920,jeanva1953@wanadoo.fr,0,Rent,31179.72,0
135,Eugene Nielsen,1960,61,Male,5954/ BINTLIFF/ Middlesex/ Tewksbury/ MA/ 1876,(351)307-1742,eugenenielsen1960@yahoo.com,0,Own,98857.44,0
136,Elizabeth Gillespie,2004,17,Female,4053/ DAWSON CREEK/ Decatur/ Greensburg/ IN/ 47240,(574)450-9449,elizabeth.gillespie2004@aol.com,0,Rent,3024.12,9
137,Sarah Key,2013,8,Female,6703/ GALWAY/ Middlesex/ New Brunswick/ NJ/ 8906,(609)293-5190,s.k@yahoo.com,0,Rent,0.0,0
138,Mike Blevins,1959,62,Male,689/ CLEARCREEK/ Mckean/ Ludlow/ PA/ 16333,(878)263-4438,mike.blev14@hotmail.fr,0,Own,104644.98,0
139,Stacie Day,1973,48,Female,8481/ FANNIN FALLS/ Marshall/ Glen Easton/ WV/ 26039,(304)425-2945,sta-da0906@yahoo.com,2,Own,53808.48,1
140,Jay Buckner,1980,41,Male,2435/ LAGUNA LOMA/ Honolulu/ Hickam Afb/ HI/ 96853,(808)307-5887,jay-buckne31@yahoo.com,0,Own,103967.16,6
141,Kendall Horne,2015,7,Female,4351/ MARINERS/ Vermilion/ Henning/ IL/ 61848,(224)568-2134,kendal-ho@yahoo.com,0,Rent,0.0,0
142,Kathy Kent,1956,65,Female,789/ BLACK LOCUST/ / Apo/ AE/ 9810,(321)332-6942,kat.ken2007@yahoo.com,0,Own,49220.16,0
143,Drew Vazquez,1986,35,Male,3590/ GINGER/ Mclennan/ Waco/ TX/ 76798,(940)365-8236,drewva@orange.fr,3,Rent,46456.74,5
144,Brett Blackburn,1988,33,Male,8943/ KIRSCHNER/ Cuyahoga/ Cleveland/ OH/ 44126,(740)630-7076,brett_bl18@wanadoo.fr,2,Rent,12200.76,10
145,Bradley Gutierrez,2003,18,Male,8699/ LOGAN/ Bexar/ San Antonio/ TX/ 78242,(214)727-7983,brad_gu251003@aol.com,0,Rent,16528.38,2
146,Shawna Lynn,1979,42,Female,2799/ WOODWARD/ Lincoln/ Fort Stanton/ NM/ 88323,(505)746-5019,shawna_lynn@yahoo.com,0,Rent,35350.92,0
147,Stephen Cline,1985,36,Male,4780/ PHEASANT/ Dona Ana/ Salem/ NM/ 87941,(575)739-8365,stephen-cli@gmail.com,3,Own,39157.14,8
148,Sonya Spears,1974,48,Female,2595/ MONROE/ Tippecanoe/ Romney/ IN/ 47981,(317)826-6455,sonya_spears16@msn.com,0,Own,85718.16,0
149,Karl Smith,1956,65,Male,2568/ BROWNING/ Rapides/ Cheneyville/ LA/ 71325,(504)249-4385,kar.smith19@msn.com,0,Own,9489.48,0
150,Mckenzie Gordon,2009,12,Female,2444/ WOOTEN/ Douglas/ Tiller/ OR/ 97484,(458)689-2321,mckenzie-gordo211109@hotmail.co.uk,0,Rent,0.0,0
151,James Avila,1967,55,Male,3023/ FAWNRIDGE/ Screven/ Oliver/ GA/ 30449,(470)655-5796,james_avi1967@gmail.com,3,Rent,21794.52,1
152,Audrey Frye,1949,73,Female,8359/ CASTLEWOOD/ Gwinnett/ Lawrenceville/ GA/ 30049,(912)838-2703,a.fry754@hotmail.co.uk,0,Own,43484.76,0
153,Vickie Espinoza,1966,56,Female,403/ MAIN/ Union/ Hartleton/ PA/ 17829,(223)357-9218,vickie.espino15@wanadoo.fr,2,Own,41503.44,1
154,Carl Berry,1970,51,Male,5728/ CAVES VALLEY/ Grant/ Bentley/ LA/ 71407,(318)470-5556,carl_berry1212@gmail.com,1,Own,86395.98,1
155,Jonathan Cabrera,1959,63,Male,6932/ CHOWAN/ Davis/ Layton/ UT/ 84040,(801)667-9919,jona.cabrera@wanadoo.fr,1,Own,17206.2,0
156,Jaime Boyer,1972,50,Male,2210/ 7TH/ Medina/ Litchfield/ OH/ 44253,(220)850-6204,jaime.boyer28@aol.com,0,Own,36237.3,2
157,Catherine House,1999,23,Female,9543/ CHEYENNE/ Dallas/ Dallas/ TX/ 75246,(682)348-8912,catherine.hous239@hotmail.co.uk,2,Own,45726.78,1
